timestamp,open,close,high,low,volume
2020-07-15T14:45:00-04:00,2.340,2.350,2.365,2.320,1675
2020-07-15T14:50:00-04:00,2.360,2.330,2.360,2.330,1298
2020-07-15T14:55:00-04:00,2.320,2.330,2.330,2.300,950
2020-07-15T15:00:00-04:00,2.430,2.430,2.440,2.400,3940
2020-07-15T15:05:00-04:00,2.440,2.465,2.465,2.380,5091
2020-07-15T15:10:00-04:00,2.460,2.365,2.475,2.365,6396
2020-07-15T15:15:00-04:00,2.365,2.410,2.420,2.365,4477
2020-07-15T15:20:00-04:00,2.430,2.370,2.440,2.370,2000
2020-07-15T15:25:00-04:00,2.360,2.380,2.380,2.330,7798
2020-07-15T15:30:00-04:00,2.320,2.340,2.340,2.310,6996
2020-07-15T15:35:00-04:00,2.380,2.360,2.395,2.360,2215
2020-07-15T15:40:00-04:00,2.375,2.360,2.380,2.360,4729
2020-07-15T15:45:00-04:00,2.370,2.380,2.380,2.330,6662
2020-07-15T15:50:00-04:00,2.360,2.400,2.410,2.360,14565
2020-07-15T15:55:00-04:00,2.400,2.370,2.410,2.340,22624
2020-07-15T16:20:00-04:00,2.730,2.590,2.730,2.590,890
2020-07-15T16:25:00-04:00,2.630,2.850,2.850,2.630,1600
2020-07-15T16:30:00-04:00,2.820,2.770,2.820,2.770,772
2020-07-15T16:35:00-04:00,2.670,2.690,2.700,2.650,1390
2020-07-15T16:40:00-04:00,2.760,2.740,2.760,2.730,400
2020-07-15T16:45:00-04:00,2.750,2.800,2.800,2.750,200
2020-07-15T16:50:00-04:00,2.840,2.870,2.870,2.820,890
2020-07-15T16:55:00-04:00,2.870,2.920,2.930,2.850,3437
2020-07-15T17:00:00-04:00,2.800,2.800,2.800,2.800,100
2020-07-15T17:05:00-04:00,2.750,2.850,2.850,2.750,700
2020-07-15T17:10:00-04:00,2.800,2.810,2.810,2.770,600
2020-07-16T07:45:00-04:00,3.370,3.370,3.370,3.370,997
2020-07-16T08:10:00-04:00,3.340,3.340,3.340,3.340,100
2020-07-16T08:25:00-04:00,3.490,3.470,3.510,3.470,1600
2020-07-16T08:30:00-04:00,3.490,3.490,3.490,3.490,200
2020-07-16T08:50:00-04:00,3.360,3.400,3.400,3.360,2098
2020-07-16T08:55:00-04:00,3.400,3.400,3.400,3.400,200
2020-07-16T09:00:00-04:00,3.230,3.230,3.230,3.230,100
2020-07-16T09:10:00-04:00,3.330,3.330,3.330,3.330,400
2020-07-16T09:20:00-04:00,3.350,3.370,3.370,3.350,2052
2020-07-16T09:25:00-04:00,3.370,3.330,3.370,3.330,2093
2020-07-16T09:30:00-04:00,3.340,3.350,3.380,3.070,36904
2020-07-16T09:35:00-04:00,3.390,3.710,3.825,3.385,75231
2020-07-16T09:40:00-04:00,3.760,3.670,3.880,3.630,62849
2020-07-16T09:45:00-04:00,3.610,3.690,3.750,3.530,35357
2020-07-16T09:50:00-04:00,3.700,3.685,3.820,3.655,44891
2020-07-16T09:55:00-04:00,3.720,4.060,4.090,3.720,62332
2020-07-16T10:00:00-04:00,4.070,4.290,4.395,4.070,83205
2020-07-16T10:05:00-04:00,4.265,4.550,4.630,4.250,140143
2020-07-16T10:10:00-04:00,4.560,4.230,4.630,4.120,131027
2020-07-16T10:15:00-04:00,4.210,4.070,4.370,4.040,46084
2020-07-16T10:20:00-04:00,4.070,3.890,4.130,3.830,52413
2020-07-16T10:25:00-04:00,3.900,3.995,4.055,3.810,59781
2020-07-16T10:30:00-04:00,3.995,4.050,4.190,3.970,94769
2020-07-16T10:35:00-04:00,4.045,3.740,4.070,3.640,64457
2020-07-16T10:40:00-04:00,3.730,3.835,3.845,3.730,46480
2020-07-16T10:45:00-04:00,3.815,3.855,3.980,3.785,57053
2020-07-16T10:50:00-04:00,3.845,3.730,3.890,3.710,24439
2020-07-16T10:55:00-04:00,3.790,3.760,3.850,3.715,16457
2020-07-16T11:00:00-04:00,3.760,3.580,3.800,3.565,23644
2020-07-16T11:05:00-04:00,3.580,3.600,3.650,3.570,6303
2020-07-16T11:10:00-04:00,3.680,3.660,3.690,3.660,900
2020-07-16T11:15:00-04:00,3.680,3.670,3.690,3.670,993
2020-07-16T11:20:00-04:00,3.800,3.850,3.850,3.800,680
2020-07-16T11:25:00-04:00,4.080,4.030,4.120,4.010,6264
2020-07-16T11:30:00-04:00,3.970,4.005,4.030,3.970,5318
2020-07-16T11:35:00-04:00,3.880,3.875,3.880,3.865,4000
2020-07-16T11:40:00-04:00,3.900,3.950,3.970,3.900,2200
2020-07-16T11:45:00-04:00,3.825,3.830,3.830,3.790,4438
2020-07-16T11:50:00-04:00,4.095,4.045,4.130,4.045,4798
2020-07-16T11:55:00-04:00,4.010,3.855,4.010,3.845,2885
2020-07-16T12:00:00-04:00,3.875,3.835,3.875,3.835,3710
2020-07-16T12:05:00-04:00,3.830,3.720,3.830,3.720,3058
2020-07-16T12:10:00-04:00,3.755,3.755,3.760,3.755,5701
2020-07-16T12:15:00-04:00,3.780,3.785,3.785,3.780,500
2020-07-16T12:20:00-04:00,3.800,3.750,3.800,3.750,450
2020-07-16T12:25:00-04:00,3.725,3.725,3.725,3.725,4790
2020-07-16T12:30:00-04:00,3.770,3.735,3.770,3.735,1427
2020-07-16T12:35:00-04:00,3.630,3.650,3.650,3.630,1711
2020-07-16T12:40:00-04:00,3.700,3.680,3.700,3.680,2004
2020-07-16T12:45:00-04:00,3.700,3.710,3.710,3.700,573
2020-07-16T12:50:00-04:00,3.700,3.705,3.705,3.700,511
2020-07-16T12:55:00-04:00,3.625,3.505,3.625,3.500,8528
2020-07-16T13:00:00-04:00,3.420,3.460,3.470,3.400,2100
2020-07-16T13:05:00-04:00,3.520,3.475,3.520,3.475,6073
2020-07-16T13:10:00-04:00,3.510,3.510,3.510,3.510,300
2020-07-16T13:15:00-04:00,3.435,3.390,3.450,3.390,1895
2020-07-16T13:20:00-04:00,3.415,3.430,3.430,3.415,3190
2020-07-16T13:25:00-04:00,3.415,3.335,3.420,3.335,2185
2020-07-16T13:30:00-04:00,3.330,3.300,3.330,3.290,1400
2020-07-16T13:35:00-04:00,3.245,3.255,3.255,3.245,720
2020-07-16T13:40:00-04:00,3.400,3.410,3.440,3.400,2000
2020-07-16T13:45:00-04:00,3.420,3.400,3.420,3.400,900
2020-07-16T13:50:00-04:00,3.460,3.460,3.460,3.460,202
2020-07-16T13:55:00-04:00,3.480,3.420,3.480,3.420,1500
2020-07-16T14:00:00-04:00,3.340,3.400,3.400,3.340,7280
2020-07-16T14:20:00-04:00,3.380,3.470,3.470,3.380,3300
